trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-182.85809214105652,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-49.39485616198402,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.9999999}",35,0,-170.91667672073598,"{0: 23, 1: 3, 2: 4, 3: 3, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-177.44294031854488,"{0: 13, 1: 1, 2: 0, 3: 3, 4: 3}",0
5,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-188.71675231845856,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-100.08426925282446,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-78.33199991950372,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-99.18536485798501,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-179.9807750025489,"{0: 17, 1: 5, 2: 3, 3: 3, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-108.4419344759895,"{0: 22, 1: 2, 2: 2, 3: 3, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-16.647398518817127,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-144.80678987138603,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.9999999}",30,13,-122.93924048293063,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 2}",1
14,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-146.69525435650095,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-146.90211889903722,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
