trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-35.4256627072482,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.33731940648412,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.42062052541155,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.120463470813014,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.87645159750022,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.12617355597693,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-24.43332719422338,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.31988361649174,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.17992027139041,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.46989569417954,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.68064452826176,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.23289703535354,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.567039763579693,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-40.340881657622724,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.73286309884073,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.877279796343387,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.40881266520542,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.52048443533866,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.484592601149135,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.244390638681466,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-58.37231558239139,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-23.978896662548316,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-49.284309016768866,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.43483760024886,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.839307822272964,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-44.77192652049725,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.48285586377711,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-42.9402042696488,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-59.87532840006226,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-22.754047709443192,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
